题名,URL,作者,来源,发表日期,数据库类型,被引用次数,关键词,摘要
曲安奈德局部注射治疗慢性淋巴细胞性甲状腺炎,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_Z3gdAIawyIrKLYaRvV1yiYKD-iVhqSV1WwsVSeS7H8tQnGfKAjo0Ibrp2nAMm9f3YmuDsWdqLTWtz23j95glP7QMzf8D_f628QF-FsXaFBRT5KpFaz6hMi5o3ClirOq3w=&uniplatform=NZKPT&language=CHS,李晓雯;杨静,中国老年保健医学,4/25/2011,期刊,5,慢性淋巴细胞性甲状腺炎; 甲状腺局部注射; 曲安奈德;,"目的探讨甲状腺局部注射曲安奈德治疗慢性淋巴细胞性甲状腺炎的疗效及安全性。方法将46例临床诊断慢性淋巴细胞性甲状腺炎患者随机分为两组:①对照组,在观察期内未予特殊治疗;②甲状腺局部注射组(注射组),甲状腺局部注射曲安奈德(曲安奈德针40mg,每周1次×4次;每2周1次×2次;每4周一次×1次;共7次)。两组于治疗前及治疗后第3、6个月随访,检查症状、甲状腺肿、FT4、FT3、STSH、抗甲状腺球蛋白抗体(TgAb)、抗甲状腺过氧化物酶抗体(TPO-Ab)的改变。结果与对照组相比,甲状腺局部注射曲安奈德可使甲状腺体积缩小,发展为甲状腺功能减退症患者数减少,甲状腺相关的自身抗体水平下降,无明显消化性溃疡、骨质疏松、肥胖、多毛等不良反应。结论甲状腺局部注射曲安奈德治疗慢性淋巴细胞性甲状腺炎疗效确切、安全。"
慢性淋巴细胞性甲状腺炎误诊为甲状腺肿瘤23例临床分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_Z8xw2GpYcYtDk1ZQEbFtJmri8CsQHiB7_qDtYjT7g4-up0r7tjCczRibVq8BIrBsR4pSqAXTGERDko6nv1gg0U0HgwtoOa6utl93ELUx1bAw8zUr-uUQI4E6k1guE92MY=&uniplatform=NZKPT&language=CHS,魏茂文，张诠,癌症,8/5/1994,期刊,5,,慢性淋巴细胞性甲状腺炎误诊为甲状腺肿瘤２３例临床分析魏茂文，张诠广州中山医科大学肿瘤医院头颈科（５１００６０）慢性淋巴细胞性甲状腺炎（以下简称ＣＬＴ）被认为是一种自身免疫性疾病，临床容易误诊为甲状腺肿瘤。从１９６７年１０月至１９９４年１月，我科共收治...
常规超声联合超声造影在鉴别诊断慢性淋巴细胞性甲状腺炎合并甲状腺实性结节中的价值,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_Z8xw2GpYcYtDk1ZQEbFtJmri8CsQHiB7_ZYdRwSQsyBC4EcyjjyD3gOOCqwbDYsnPIFi37cxbxDplwdaZsHUu4vcvQdhf7r-UihCVhELNtHTl4bKzjkZ5Mbqn5yKbd7WTREwmu1hXapg==&uniplatform=NZKPT&language=CHS,杨娟;吴昌财;颜树宏;郑笑娟,医学研究杂志,3/15/2015,期刊,5,慢性淋巴细胞性甲状腺炎; 常规超声; 超声造影;,"目的通过研究常规超声联合超声造影在鉴别诊断慢性淋巴细胞性甲状腺炎合并甲状腺实性结节的价值,提高术前诊断的准确率。方法以2013年1月2014年8月在舟山医院经手术病理证实的80例慢性淋巴细胞性甲状腺炎患者108个甲状腺实性结节为研究对象,分析比较其术前常规超声图像表现及超声造影表现,并以病理结果为金标准绘制ROC曲线,评价常规超声联合超声造影在慢性淋巴细胞性甲状腺炎合并甲状腺实性结节鉴别诊断中的价值。结果边界、纵横比、回声、钙化、血流分布、不均匀增强及增强强度7个超声影像特征对诊断恶性结节有较大的参考价值,联合7项超声影像特征诊断的敏感度为87.1%,特异性为84.8%,准确度为86.1%。结论常规超声联合超声造影对评估慢性淋巴细胞性甲状腺炎合并甲状腺实性结节良恶性有一定的价值,能明显提高诊断的准确率。"
甲状腺内鳃裂囊肿3例临床病理学观察,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ZLljaFU4_cVQlBTYSqS9xVX3i3UzuR5e0ciKnbg0Cxc_WBgnG77oaQAnVO02-sffZ0ZXtyqXUkGU8_LlesBkuuOHIsznVnKHvaVOay5oYX1ylKoTM1RjSdXXp2d30QLTDGx57rZPBzFg==&uniplatform=NZKPT&language=CHS,陈博;吴焕文;孟云霄;刘彤华,诊断病理学杂志,5/28/2015,期刊,5,甲状腺; 鳃裂囊肿; 临床病理特征;,"目的探讨甲状腺内鳃裂囊肿的临床病理特征、诊断与鉴别诊断。方法对3例甲状腺内鳃裂囊肿的临床表现、组织形态等进行观察,并复习相关文献。结果 3例患者年龄分别为64、62及39岁,均无不适主诉,为体检发现。病变最大径分别为1、0.8和0.7 cm。肉眼均为质地偏软的灰粉色结节,其中1例可见囊性区。镜下可见病变为一囊性区,囊壁内衬复层鳞状上皮或假复层柱状上皮,纤维囊壁内有大量淋巴样组织并形成淋巴滤泡。结论甲状腺内鳃裂囊肿非常罕见,临床很容易误诊或漏诊,明确诊断需要借助组织病理学检查,手术彻底切除是唯一有效的根治方法。"
甲状腺乳头状癌中慢性淋巴细胞性甲状腺炎与BRAF突变的关系,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bytT900q9o-2mZcVhKpq0T5kTlGm8MyGDesYteR4u6gtLfPBIW-LHIzGh-wghVYZQwuIobchUChE0ZTLJxVXx0kRRHzFua_Z50toV_J6satbqqRQN9fq_cmOfSfrKeHUQZubXD9jRoNQ==&uniplatform=NZKPT&language=CHS,刘志英;杨波,诊断病理学杂志,2/28/2017,期刊,5,甲状腺外浸润; 甲状腺乳头状癌; BRAF V600E突变; 慢性淋巴细胞性甲状腺炎; 免疫组化;,"目的根据甲状腺乳头状癌(PTC)的BRAF突变状态研究慢性淋巴细胞性甲状腺炎(CLT)的临床意义。方法对400例行双侧甲状腺全切手术的甲状腺乳头状癌标本采用免疫组化法检测BRAF突变。结果 BRAF突变率在伴发CLT的PTC(75.9%)中明显低于不伴发CLT的PTC(83.1%)。无论是BRAF(-)还是BRAF(+)的PTC,CLT是PTC癌甲状腺外浸润(ETE)低发病率的预示因素,也是中央淋巴结转移的预示因素。结论 BRAF突变率在伴发CLT的PTC中明显低于不伴发CLT的PTC,而且无论BRAF阴性还是阳性,CLT都是PTC低侵袭性的预示因素。"
疏肝健脾温肾方治疗慢性淋巴细胞性甲状腺炎41例,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aPQDIjnGoqSZL1RviQW6dfcBVJTUWkMdx06X6LeaVO6RObPumkCvLCeHDh1csodl0hOQViHQ7xKlxCBd4m2UEjaQxHvfMrMjeg8k6PLtsRN9udFuysV2Io6-c2jT-Ier_H4SRF0KDLMQ==&uniplatform=NZKPT&language=CHS,魏桂梅;任锟;赵璐,中医研究,9/6/2018,期刊,5,疏肝健脾温肾方/治疗应用; 夏枯草胶囊/治疗应用; 慢性淋巴细胞性甲状腺炎/中西医结合疗法; TSH; FT3; FT4; 临床观察;,"目的:观察疏肝健脾温肾方联合左甲状腺素钠片、夏枯草胶囊治疗慢性淋巴细胞性甲状腺炎的临床观察。方法:将82例慢性淋巴细胞性甲状腺炎患者采用随机数字表法随机分为治疗组和对照组。对照组给予左甲状腺素钠片,早餐前30 min服用2550μg,1次/d,口服;夏枯草胶囊,0.7 g/次,2次/d,口服。治疗组在对照组治疗基础上加服疏肝健脾温肾方(淫羊藿、生牡蛎、佩兰、肉苁蓉、黄芩、茯苓、皂角刺、莪术、三棱、柴胡、香附、白芍、半夏、当归、陈皮),水煎煮,1剂/d,早晚分服。两组均连续治疗6个月。结果:治疗组治愈2例,显效19例,有效17例,无效3例,有效率为92.68%;对照组治愈0例,显效12例,有效18例,无效11例,有效率为73.17%。两组疗效对比,差别有统计学意义(P<0.05)。治疗后两组甲状腺结节直径及甲状腺体积较治疗前缩小,且治疗组小于对照组(P<0.01);两组疗程结束后血清FT3、FT4水平高于治疗前,TSH水平低于治疗前,且治疗组血清FT3、FT4水平高于对照组,TSH水平低于对照组(P<0.05)。结论:疏肝健脾温肾方联合左甲状腺素钠片、夏枯草胶囊治疗慢性淋巴细胞性甲状腺炎可有效缩小甲状腺体积和甲状腺结节直径,改善患者甲状腺功能,提高治疗效果。"
慢性淋巴细胞性甲状腺炎的诊断与中医药治疗策略,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_an_MqH6-KloXO7GNWDsUZ5p36gZwHCcr_6okhRCjdh4U1Mz_egzlTjWa5xuy0KMTUnJibRE0w69hUHDW07C4ZS5w0P9iOjhKFiS2kP6LaKm0XBrX0It3_uB6trvLmYrx3EbOb7jQCDBQ==&uniplatform=NZKPT&language=CHS,杜立娟;逄冰;倪青,中国临床医生杂志,9/5/2018,期刊,5,慢性淋巴细胞性甲状腺炎; 诊断; 治疗; 中西医结合;,"慢性淋巴细胞性甲状腺炎(chronic lymphocytic thyroiditis,CLT)为自身免疫性疾病,最早由日本学者桥本(Hashimoto)先生在1912年首次发现并且发表,故又被称为桥本甲状腺炎(Hashimoto thyroiditis,HT)[1,2]。随着现代社会生活节奏的加快及环境变化等因素的影响,自身免疫性甲状腺疾病在内分泌疾病中所占比例逐渐增大,尤其是CLT发病呈逐年上升、日益年轻化趋势,CLT占甲状腺疾病的22.5%,全世界患病率每年为2%,发生率为0.8～3.5/1000人年。"
甲状腺乳头状癌中鼠类肉瘤滤过性毒菌致癌同源体B1 V600E突变与慢性淋巴细胞性甲状腺炎关系的研究,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bV_PtgpmMBP2eEJBXKozfUXDW9pIQZDy11k1zb-WRrvIWrCkvFHxPux3TJ94TMh2o8W63seAHUwwLgmhRJoQcaekuPdbqK6UGVO_gsqJ6_a_bsV5SwLwPm_oW0xYTrDzRdIbiU_DVMzA==&uniplatform=NZKPT&language=CHS,林婉玲;丁金旺;荀延萍;姜燕平;包凌云,中国耳鼻咽喉头颈外科,11/28/2018,期刊,5,甲状腺肿瘤(Thyroid Neoplasms); 突变(Mutation); BRAF基因(BRAF gene); 慢性淋巴细胞性甲状腺炎(chronic lymphocytic thyroiditis);,"<正>甲状腺乳头状癌(papillary thyroid carcinoma,PTC)占甲状腺癌的75.5%～87.3%,其预后较好。鼠类肉瘤滤过性毒菌致癌同源体B1(V-raf murine sarcoma viral oncogene homolog B1,BRAF)基因编码的B型有丝分裂原激活的蛋白依赖性激酶是RAS-RAF-MEK-ERK-MAPK信号通路的关键成分,该信号通路调节细胞的生长、增殖和凋亡。Xing等[1]报道BRAF基因突变与甲状腺癌的淋巴结转移,腺体外侵犯等相关。慢性淋巴细胞性甲状腺炎(chronic"
超声在慢性淋巴细胞性甲状腺炎背景下的结节诊断中的价值,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_Z7zIHmWUjI2ULPfkCndFll_LYES3Eub8QKSftPGMCSsx_FgTIudLV4wPCWG_Ixk6Kj0rDu3ihNN7Rg-YFL2X2lYr1Gqk24xGbz1cPnmeiQKi7218wjLFihv_1LHG4AB0KjkcWACtei0A==&uniplatform=NZKPT&language=CHS,范晴敏;董凤林;杨雅静;后利珠;黄莹,中华医学超声杂志(电子版),1/1/2020,期刊,5,超声检查; 慢性淋巴细胞性甲状腺炎; 甲状腺结节; 甲状腺乳头状癌; 鉴别诊断;,"目的分析超声在慢性淋巴细胞性甲状腺炎(CLT)背景下的甲状腺良恶性结节诊断中的价值。方法选取2015年1月至2017年12月就诊于苏州大学附属第一医院的398例甲状腺结节患者的灰阶和彩色多普勒超声图像进行回顾性分析。按照病理结果分为4组:正常背景下的良性结节组(BN)、正常背景下的甲状腺乳头状癌组(PTC)、CLT背景下的良性结节组(CLT+BN)和CLT背景下的PTC组(CLT+PTC)。结果不同背景下的恶性结节和良性结节各自的超声特征均相似,差异均无统计学意义(P均> 0.05),但是,结节内部的血流信号存在差异,差异有统计学意义(P=0.001),而CLT背景下的良恶性结节的超声特征包括纵横比、内部回声、形态、边界、钙化灶、血流信号特征等超声特征表现上比较,差异均有统计学意义(P均<0.001)。结论 CLT背景的存在与否对PTC的鉴别无明显干扰,在CLT患者中,常规超声依然能够很好的帮助判断结节的性质,为临床提供可靠的诊断依据。但是,彩色血流特征在结节的鉴别诊断中价值有限。"
慢性淋巴细胞性甲状腺炎亚临床期病机探析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_a48YJm5L5Oo3wmeCZhrzuCfbFcZwK21P3bIRyvz_w_ic_H84PnqmaOBvpOSwzwKSSnPUGEb3Satfxzm6gkgRVkpeAOWzz0eFhAU-HMwetCTSjsLBwZY-zn-PcSZinJwc-MynxO7WyiOg==&uniplatform=NZKPT&language=CHS,崔伟更;张兰,陕西中医,5/5/2021,期刊,5,慢性淋巴细胞性甲状腺炎; 亚临床期; 肝脾; 理论探析; 病因病机; 发病机制;,"慢性淋巴细胞性甲状腺炎(CLT)是临床常见的自身免疫性甲状腺疾病,以无疼痛、弥漫性甲状腺肿大,伴有甲状腺自身抗体滴度升高为特征。慢性淋巴细胞性甲状腺炎分为三期,CLT亚临床期治疗是逆转疾病进程关键阶段,该期患者呈现相对可逆性,如早期进行干预,能够逆转其向甲状腺功能异常期进展,中医对CLT亚临床期的辨证治疗具有独特优势。本文从CLT亚临床期的中医病机特点,结合CLT亚临床期的临床表现及病理特点,阐述CLT亚临床期发病的中医病机核心是肝郁脾虚,以及其与西医免疫功能紊乱、甲状腺细胞凋亡的相关性为切入点探析CLT亚临床期发病机制,为慢性淋巴细胞性甲状腺炎亚临床期的治疗提供坚实理论依据。"
慢性淋巴细胞性甲状腺炎的中西医临床研究概况,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_YxbGgrZNlFZ1pSAVeKA4rZ5m9s9EzBlWnNQ44uxkcDRCr7NkvHiYMthvC4Em6beOwV9h26ZN0GEab3cdbKcsn2BtBMBS-QWCeYO7OXMjBm5dc-o0A1PcrAsuDk3Wvz0GI_qY6iLyo0SA==&uniplatform=NZKPT&language=CHS,阎冠奇;张兰,云南中医中药杂志,4/20/2021,期刊,5,慢性淋巴细胞性甲状腺炎; 桥本病; 中西医结合;,"慢性淋巴细胞性甲状腺炎是目前在临床中较为常见的一种自身免疫性甲状腺疾病,关于该病的研究已经取得了一定的进展,通过对近年来关于本病的文献资料的收集整理分析,总结出中西医对本病的认识、诊断标准、西医治疗方法、中医辨证分型及分期、中药治疗及中医其他特色疗法的综合描述,并结合中西医各自的优势与不足,提出未来采用中西医结合方式治疗本病的思路。"
张兰教授治疗慢性淋巴细胞性甲状腺炎临床经验总结,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_YxbGgrZNlFZ1pSAVeKA4rZoXIpxctbsQj5lZ5qlBFMukITTTplehAIoWwK5okjQQqS4rlyrEk36yqlI5kB8C6qb9PYPIsvtwIKfmUN_dLajAHm61wNtIsf52VM4iiHGIlCP4ejaHibXw==&uniplatform=NZKPT&language=CHS,邓翠,辽宁中医药大学,4/1/2012,硕士,5,桥本病; 中医治疗; 经验;,慢性淋巴细胞性甲状腺炎((Chronic Lymphocytic Thyroiditis，CLT)是自身免疫甲状腺炎(autoimmune thyroiditis，AIT)中最为常见的一种类型，由于其病理特点为甲状腺呈弥漫性淋巴细胞浸润、纤维化、间质萎缩及腺泡细胞嗜酸性改变故而得名，又称桥本氏甲状腺炎(Hashimoto’S thyroiditis，HT)或桥本病(Hashimoto’s disease；HD)。近年来，随着人类生活水平的提高及生活方式的改变，体育活动的减少，膳食结构的改变，遗传因素的影响等成为慢性淋巴细胞性甲状腺炎发病率攀升的主要因素，严重影响着人类的生活质量。现代医学对本病主要是应用免疫抑制药物，桥本甲减者需长期应用甲状腺激素替代治疗，桥本甲亢者不主张抗甲状腺药物治疗，若用，以小剂量、短程，密切复查甲状腺功能，或用心得安对症治疗，一般不用碘剂治疗及手术治疗。但对于甲状腺弥漫性肿大者除手术外尚无特效疗法。以上均不能纠正免疫功能紊乱，且都有一定的局限性。从中医药探讨本病的防治原则显示了很大的优势与潜力。张兰教授对本病有着独特而丰富的治疗经验。张师认为，本病的显著临床特征应归属于祖国传统医学的“瘿病”“瘿瘤”等范畴。本病病因主要与素体不足、情志内伤、六淫邪气、饮食失调等综合因素关系密切，由于素体不足或饮食失调导致脾失健运，聚湿生痰；或素体不足，六淫邪气侵入机体进一步损伤正气导致脾肾虚弱，或情志内伤，肝郁气滞、气血瘀滞，日久引起血脉瘀阻，最终以气滞、痰凝、血瘀三者合而为患，壅结于颈前而成瘿，因此本病病机复杂，属本虚标实之证。导师治疗本病多采取辨证施治、标本兼顾的治疗原则，临证以疏肝、健脾、补肾兼行气化痰、活血化瘀、软坚散结为法治疗本病，临床常获良效，现将导师治疗经验总结如下。
超声介入微创组织病理活检在慢性淋巴细胞性甲状腺炎诊断中的临床意义,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ZQ-bGNBcS6ZV8JrmKyKp7Hir7G2arYzYYbv0R4vKRb2DmYlo9EInKVKQeVTxEIGVIKY7d1YSFWBvpZIftMGNd_8nRwEHUE5bjScUSZ8fZnk5OOEL4RqnA1TMfP_rEpZSHOo5mpUrU3Ig==&uniplatform=NZKPT&language=CHS,李世杰,吉林大学,4/1/2011,硕士,5,甲状腺炎; 超声; 多普勒; 外科手术; 微创性; 组织活检;,"超声介入微创组织病理活检(cNB)是一种先进的活检诊断技术,在甲状腺疾病诊断中,可将超声定位技术,外科穿刺技术与病理阅读技术能力密切配合。其优越性在于可取出较大活体组织,较好地满足病理诊断需要,提高诊断正确率。文献报道对甲状腺疾病诊断正确率明显优于FNAB。同时在超声实时监控下,调整进针的深度及角度,避开血管、神经及气管等重要组织,不易损伤周围组织器官,提高准确度。具有操作简单,安全性高,并发症少,诊断率高的优越性。目的:探讨超声介入微创组织病理活检在甲状腺炎诊断中的应用价值。方法:回顾我院2009年1月一2009年12月穿刺活检诊断为甲状腺炎及甲状腺炎合并甲状腺结节92例,对诊断、治疗经过及随访结果进行分析。本文旨在探讨CNB在HT诊断中的临床意义。"
NO介导细胞因子失衡致儿童慢性淋巴细胞性甲状腺炎发病的作用,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ZQ-bGNBcS6ZV8JrmKyKp7Hw1rvqRkqF37w5lrT1MMPd_8KmPU3TN8K-djt44P2i7sLUaNqtwFvTRtmi2LPqUPq1UcQ_LQ6NECayemP-W0TfMY3t1eoMN3jUbOoen21bZA=&uniplatform=NZKPT&language=CHS,"董文斌,冉隆瑞,肖大成",细胞与分子免疫学杂志,2/29/2000,期刊,4,甲状腺炎; 自身免疫; 一氧化氮; γ-干扰素; 白细胞介素-4;,"目的探讨一氧化氮(nitricoxide,NO)介导的细胞因子失衡 ,在儿童慢性淋巴细胞性甲状腺炎(CLT)发病中的作用。方法对初诊(CLT)患儿13例外周血单个核细胞(PBMC)产生的NO水平及其与IFN γ和IL 4水平失衡和甲状腺功能受损的关系进行了研究。结果与正常组相比 ,患儿NO和IFN γ水平明显升高(P<0.001) ,IL 4的水平明显降低(P<0.002) ;NO水平与IFN γ和血清TSH水平呈显著的正相关(P<0.05) ,而与IL 4及血清T3 ,T4的水平呈显著的负相关(P<0.05)。结论NO作为细胞因子水平失衡的介质 ,参与了CLT的发病。"
Evans综合征合并慢性淋巴细胞性甲状腺炎一例,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bODVtKv2BW-dSGXSSi4IKnkX3XFIjAMVMk_cxn5whXMDAqnBOUK3l9bIOy7nY5rI1kAFuibl_cX3xm9i2_EVxFwUVZBVrbl8xEsDV66kQuaAS1gt77mGnFBVLe6pp5z5I=&uniplatform=NZKPT&language=CHS,"井丽萍,张凤奎,薛峰,王迎,李洋,李刚,储榆林",中华内科杂志,10/20/2003,期刊,4,,
结节性甲状腺肿合并慢性淋巴细胞性甲状腺炎22例临床分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_anfK5j6GpkNYo0XE-tdytLeXV-DeWfy34NrIov_cJowBMa5BTVYu4Kl2nfbibGtmBak-93nMpjhAVoLFIRss_k2UEJghRU-NPN9jBk6I5DoMJS-O70cO4G-WgON-9xEQM=&uniplatform=NZKPT&language=CHS,"唐建军,孙克金,康文卿,毕亚,钱叶普",临床军医杂志,2/28/2003,期刊,4,结节性甲状腺肿; 慢性淋巴细胞性甲状腺炎; 诊断; 治疗;,"目的　总结结节性甲状腺肿 (结甲 )合并慢性淋巴细胞性甲状腺炎 (CLT)的诊治经验。方法　对 1989— 2 0 0 1年手术治疗的 2 2例结甲合并CLT的临床资料进行回顾性分析。结果　全部病例均经病理证实 ,术前诊断率为 4 0 .9%。根据不同术前诊断采取了不同手术方法。术后甲状腺功能减退 (甲减 )发生率为 15 .0 % ,甲状腺结节复发率为 9.1%。结论　应重视结甲合并CLT的诊断 ,甲状腺细针穿刺及术中冰冻切片有助于明确诊断。手术治疗是可行的 ,正确采取手术方法和切除范围能够有效防止术后甲减和结节复发。"
慢性淋巴细胞性甲状腺炎的诊治(附77例报告),https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ZXDeNFjVDDnIWY6_R06qIQo5Ew18zYPt1v2kJbks_3fy7D6HXWfrRVAJU-OAiFKSQGpKuse9-83F_h2oEFUTIa6n2JmfkWXeJIiacGsMueXt7-IVoKgX8xjU8OHncsVBQ=&uniplatform=NZKPT&language=CHS,邓小凡;李波;陈鹏,中国普外基础与临床杂志,5/25/2006,期刊,4,慢性淋巴细胞性甲状腺炎; 诊断; 治疗;,"目的总结慢性淋巴细胞性甲状腺炎及其合并甲状腺疾病的诊治经验。方法回顾性分析我院2002年11月至2005年3月期间手术治疗并经病理检查证实的77例慢性淋巴细胞性甲状腺炎及其合并甲状腺疾病的临床资料。结果单纯慢性淋巴细胞性甲状腺炎53例,慢性淋巴细胞性甲状腺炎合并乳头状癌10例,滤泡状癌1例,非何杰金氏淋巴瘤2例,结节性甲状腺肿6例,滤泡性腺瘤4例,甲状旁腺腺瘤1例。手术治疗效果良好。结论慢性淋巴细胞性甲状腺炎临床表现复杂,合并甲状腺其他疾病多,术前诊断困难。但仔细的体检,结合甲状腺相关激素、彩色多普勒以及细针穿刺细胞学检查可以提高术前诊断率,重视术中甲状腺薄层切片及冰冻切片检查有利于提高术中确诊率,从而选择正确的手术方式。"
高频二维及彩色多普勒超声对慢性淋巴细胞性甲状腺炎的诊断价值,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bXKRzSiNSksKVJ4AX6EajdmTWI7qHbmgZFXwp9AaaOk4K9bi-kTvNrDO5uVCVjAnbC5jKmD2TLZb4W03nkupFQis1hXWDij4immKDNpWewRw7Ip7Pb-CG6uJKuF01h-qY=&uniplatform=NZKPT&language=CHS,梁红敏,昆明医学院学报,6/30/2006,期刊,4,慢性淋巴细胞性甲状腺炎; 彩色多普勒超声; 诊断;,"目的探讨慢性淋巴细胞性甲状腺炎的高频二维及彩色多普勒超声诊断价值.方法对78例经临床、实验室检查或手术病理证实的慢性淋巴细胞性甲状腺炎患者应用高频二维及彩色多普勒超声检查甲状腺大小、回声,内部血流信号,甲状腺上动脉血流峰值流速,并对其结果进行分析.结果78例慢性淋巴细胞性甲状腺炎患者甲状腺均有不同程度增大,以侧叶前后径和峡部增大明显,其内部回声改变分为三型,腺体实质偏低粗点状不均匀型;弥漫性高、等斑状回声,间有低回声型;腺体点状回声不均,其内有散在条状强回声,呈分隔状或网格状回声型.68例患者甲状腺血流明显丰富,甲状腺上动脉峰值流速高于正常.结论高频二维及彩色多普勒超声在慢性淋巴细胞性甲状腺炎的声像图具有明显特异性,有较高临床诊断价值."
流式细胞术检测慢性淋巴细胞性甲状腺炎患者外周血Th1、Th2细胞的意义,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bXKRzSiNSksKVJ4AX6EajdmTWI7qHbmga4vKI6CFlMg0T1jpnyTTxXOpg4oCMj74cKfZw4xB7Dod-yGjG7CGIMqOlyQXbJov02LwLrQLJXdyFhyFARnxWzB1KXWcMT8Mc=&uniplatform=NZKPT&language=CHS,王云云;宋进展;吴汉妮;钱伟,现代免疫学,7/30/2009,期刊,4,慢性淋巴细胞甲状腺炎; Th1细胞; Th2细胞; 流式细胞术;,"检测慢性淋巴细胞甲状腺炎(CLT)患者外周血Th1、Th2细胞的水平,探讨Th1细胞占CD4+T细胞比例(Th1%)、Th2细胞占CD4+T细胞比例(Th2%)、Th1/Th2在各组间的差异和意义及分别与血清中针对甲状腺特异抗体的相关性。收集45例CLT患者外周血,分为甲状腺功能正常组15例和甲状腺功能减退组30例,20例健康人外周血作为对照组;采用胞内细胞因子染色流式细胞术检测Th1%和Th2%;应用电化学发光法检测甲状腺自身抗体——甲状腺球蛋白抗体(TgAb)和甲状腺过氧化物酶抗体(TPOAb)水平。结果显示,两组CLT患者外周血Th1%、Th1/Th2均高于正常对照组,差异均有统计学意义(P<0.05),CLT两组间Th1%、Th1/Th2的差异无统计学意义;各组间Th2%差异无统计学意义;CLT患者外周血Th1%、Th1/Th2分别与血清TPOAb及TgAb阳性表达呈显著正相关(P均<0.01)。进一步证实Th1细胞在CLT发病中起主导作用,Th1/Th2细胞失衡且向Th1细胞漂移与CLT发生发展密切相关,并且提示胞内细胞因子染色流式细胞术检测Th1/Th2细胞可成为研究自身免疫性甲状腺炎免疫状态的可靠方法。"
Poly(I∶C)加重碘过量诱发的NOD鼠慢性淋巴细胞性甲状腺炎,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_Y-qKQjt0VyFn_BDCtEHl-T7YL3SDoJHFBstMZveADqUXs5tSpv6Oi7tzglneB5n_5QxE_mdTmR-m_bMTJzXatu5w_QqxZXUA_A90ojv80pxu1txKt7OAK9Yf_fo30EKxU=&uniplatform=NZKPT&language=CHS,刘泽兵;臧晓怡;李庆欣;于秀杰;李兰英,中国病理生理杂志,3/15/2010,期刊,4,多聚肌苷酸:多聚胞苷酸; 碘过量; 慢性淋巴细胞性甲状腺炎;,"目的:探讨poly(I∶C)作为病毒类似物对碘过量所致NOD鼠慢性淋巴细胞性甲状腺炎的影响。方法:将32只雌性NOD鼠,随机分为4组,每组8只,分别为:(1)对照组;(2)碘过量组;(3)poly(I∶C)组;(4)碘过量联合poly(I∶C)组。作用9周后处死动物:观测体重、甲状腺重量及其解剖形态;采用放射免疫分析法检测血清中甲状腺激素(T4)水平;HE染色观察甲状腺组织形态变化,TUNEL技术检测甲状腺组织细胞凋亡情况,定量PCR法检测凋亡相关基因(TRAIL、TRAIL-sR1)和炎症相关基因(ICAM-1、CXCL10)mRNA表达。结果:碘过量组较对照组、Poly(I∶C)组甲状腺绝对重量及相对重量均明显增加(P<0.01);血清总T4水平下降(P<0.05);炎症破坏和细胞凋亡明显加强;上调TRAIL、TRAIL-sR1、ICAM-1、CXCL10mRNA表达(P<0.05)。碘过量联合poly(I∶C)组较单纯碘过量组甲状腺绝对重量及相对重量均进一步增加;血清总T4水平显著下降(P<0.05);炎症进一步加重,破坏程度IV级所占比例升至50.0%;凋亡细胞数量明显增加,进一步上调TRAIL、TRAIL-sR1、ICAM-1、CXCL10mRNA表达(P<0.05)。Poly(I∶C)组各值与对照组趋势一致(P>0.05)。结论:Poly(I∶C)加重碘过量所致慢性淋巴细胞性甲状腺炎发病程度,其作用途径与增加淋巴细胞浸润和甲状腺细胞凋亡有关。"
