Title,URL,Author,Source,Date,Database,Quote,Keywords,Abstract
慢性淋巴细胞性甲状腺炎并甲状腺癌误诊1例分析,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZWZX201118037,隋玉杰;邵斌;祝胜杰,Chinese Journal of Misdiagnostics,2011-06-25,Journals,,"甲状腺炎,自身免疫性/并发症;; 甲状腺肿瘤/诊断;; 误诊;","＜正＞对慢性淋巴细胞性甲状腺炎并甲状腺癌误诊1例分析如下。1病历摘要女,17岁,未婚。因颈部增粗伴疼痛4 d入院,4 d前患者发现颈部增粗,伴颈前区不适,为隐痛,无放射痛。无发热,心悸及呼吸困难,无多食、善饥及烦躁易怒。于当地医院诊断为慢性淋巴细胞性甲状腺炎。给予口服甲状腺片3个月,感颈部压迫感,来我院门诊查甲状腺彩超:甲状腺右叶低回声占位并钙化,甲状腺左叶囊实性占位,收住入院,入院查体:颈软,"
Clinical Analysis of Chronic Lymphocytic Thyroiditis Coexisting with Thyroid Cancer in 104 Patients,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZGYK201112025,"SHAO Zi-gong,YI De-hui,ZHONG Xin-ping,LIU Ting-ting,CHENG Ying,LIU Yong-feng(Department of General Surgery,The First Hospital,China Medical University,Shenyang 110001,China)",Journal of China Medical University,2011-12-26 16:13,Journals,10,chronic lymphocytic thyroiditis;; Hashimoto′s thyroiditis;; thyroid cancer;,"Objective To determine the incidence of patients with chronic lymphocytic thyroiditis（CLT） coexisting with thyroid cancer in our institution,and surgical indication of CLT with nodules.Methods Clinical data were collected and analyzed from patients undergoing thyroidectomy and pathologically proved CLT coexisting with thyroid cancer at China Medical University from Oct.2004 to Sep.2010.Results The incidence of CLT coexisting with thyroid cancer in this study is 35.99%（104/289）.27.88% cases were correctly diagnosed before operation.96.15% of patients were found thyroid nodules and 80.77% of them were calcification.All the patients underwent surgical procedure,only 5（4.8%） of whom relapsed in 2 years.Conclusion CLT may be a precursor of thyroid cancer.Surgical treatment should be considered for CLT coexisting with nodules,especially those with calcification and/or ECT proving ""cold nodule"".The surgical procedure of CLT coexisting with thyroid cancer should follow the principle of radical surgery of thyroid cancer."
Ultrasonic diagnosis of chronic lymphocytic thyroiditis coexisted with thyroid malignancy,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=LYYX201202014,"PENG Juan,WANG Dan,YUAN Hui(Department of Ultrasound,the First Affiliated Hospital of Kunming Medical University,Kunming 650032,China)",Journal of China Clinic Medical Imaging,2012-02-20,Journals,11,"甲状腺炎,自身免疫性;; 甲状腺肿瘤;; 超声检查,多普勒,彩色;","目的:探讨慢性淋巴细胞性甲状腺炎合并甲状腺恶性肿瘤的超声诊断价值。方法:回顾性分析68例经手术及病理证实的慢性淋巴细胞性甲状腺炎合并甲状腺恶性肿瘤的超声声像图特征。结果:本组病例中合并乳头状癌42例（其中微小乳头状癌13例）,超声诊断符合率80.9%（34/42）;合并恶性淋巴瘤11例,超声诊断符合率63.6%（7/11）;合并髓样癌8例,超声诊断符合率62.5%（5/8）;合并滤泡状腺癌7例,超声诊断符合率71.4%（5/7）。本组几类病种中患者在发病年龄无统计学差异（P＞0.05）,声像图特征（结节数量、内部回声类型、是否有钙化等）方面统计学差异有显著性（P＜0.05）。结论:慢性淋巴细胞性甲状腺炎合并甲状腺恶性肿瘤的超声声像图表现有一定特异性。超声检查能早期发现甲状腺的占位性病变,并对占位的良恶性进行初步判断。"
40例慢性淋巴细胞性甲状腺炎临床分析,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=HZZZ201213033,廖平,China Foreign Medical Treatment,2012-05-01,Journals,1,慢性淋巴细胞性甲状腺炎;; 自身免疫性疾病;; 误诊;; 诊断及治疗;,"目的观察慢性淋巴细胞性甲状腺炎（CLT）的临床诊治,探讨CLT的鉴别及治疗方法。方法回顾性分析本院收治的40例慢性淋巴细胞甲状腺炎患者的临床资料,总结其影像学检查、实验室检查、手术病理诊断。结果本组8例经药物治疗结果满意,32例手术治疗的患者中仅3例（术前确诊率9.4%）于术前第一诊断为CLT半结节性甲状腺肿,余下29例术前第一诊断误诊为单纯结节性甲状腺肿、结节性甲状腺肿伴甲亢或甲癌,术前误诊率90.6%（29/32）;术后病理诊断单纯CLT24例（60.0%）、CLT伴结节性甲状腺肿9例（22.5%）、CLT伴甲亢4例（10.0%）、CLT伴甲癌3例（7.5%）。结论 CLT的临床表现复杂,且常合并其他甲状腺疾病,术前超声检查结合血清免疫学检查有望提高诊断率,术前明确诊断可减少不必要的手术。"
MSCT Diagnosis of Chronic Lymphocytic Thyroiditis,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=YJTY201203004,"GU Li-jun,HAN Ben-yi,JI Xing-hua Department of Radiology,Shanghai Shidong Hospital",Chinese Computed Medical Imaging,2012-06-25,Journals,6,Chronic lymphocytic thyroiditis;; Thyroid neoplasms;; MSCT;,"Purpose:To explore the MSCT manifestation,diagnosis and differential diagnosis of chronic lymphocytic thyroiditis（CLT）.Methods: Fifty-six cases of CLT confirmed by operation and pathological result were reviewed,including 17 cases of nodular goiter,15 cases of thyroid adenoma and 9 cases of thyroid carcinoma.All the cases received plain CT scan,and 42 of them accepted contrast-enhanced scan.Results: Plain CT scan: 49 cases were shown with thyroid goiter,30 of them were with homogeneous low densities in the thyroid,and 16 cases with non-uniform low densities;37 cases were shown with nodules or lumps,which included 24 cases with solitary nodule,10 cases with multiple nodules,and 3 case with diffuse nodules;Calcification was found in 10,and cystoid degeneration in 4.Contrast-enhanced CT scans: CLT was shown with quick ascent and slow decent time-density curve,the CT value of the lesion was increased to maximum at 60’s,then was decreased slowly;The enhancement was homogeneous or heterogeneous.Conclusion: CLT often accompanies with nodular goiter,thyroid adenoma and thyroid carcinoma.It has some common features on MSCT,which can be used for diagnosis and differential diagnosis of CLT."
Clinical Study of Coexistent Chronic Lymphocytic Thyrioditis with Nodules,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=SWCX201221014,"WANG Zhi-qiang,KONG Ling-yu,NIE Chun-lei,GUAN Qiang,ZHANG Jie-wu△(Department of Head and Neck Surgery,The Third Affiliated Hospital of Harbin Medical UniversityHeilongjiang,Harbin,150081,China)",Progress in Modern Biomedicine,2012-07-30,Journals,4,Chronic lymphocytic thyroiditis（CLT）;; Autoimmune disease;; Thyriod nodule;,"Objective: To investigate the principles of diagnosis and treatment of the patients who has chronic lymphocytic thy-roiditis（CLT） coexistent with nodules in northeast area of China.Methods: We retrospectively analysed the 151 cases of CLT concomi-tant with nodules from September 2009 to December 2010.A comparison of the clinical data including clinicopathologic features,treat-mentand prognosis was made between these groups by retrospective research.Results: The patients of CLT coexistent papillary thyroid carcinoma included 51 women and 7 men,with an average age of 37.5±4 years and symptoms duration of 18 months,and there were 28 cases of solitary nodule.The mean tumor size was 0.9±0.56 cm,and 36 cases foci diameter ＜1.0 cm,and 42 cases of calcification.The patients with benign nodules included 93 women and 5 men,with average age of 48.1±9 years symptoms duration of 72 months,and 34 cases of solitary nodule.The mean tumor size was 1.8±0.42 cm,and 35 cases foci diameter ＜1.0 cm,and 10 cases of calcification.Age of onset,symptoms duration,nodule numbers and calcification in nodules had significant difference between these groups.Conclusion: The chronic lymphocytic thyroiditis coexist with thyroid carcinoma was mostly papillary thyroid microcarcinoma having a low rate lymph node metastasis.Surgical intervention should be considered with such conditions,including solitrary solid nodule and calcifi-cation revealed by ultrasonography."
48例慢性淋巴细胞性甲状腺炎临床分析,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=DDYI201224038,耿向华,Contemporary Medicine,2012-08-25,Journals,3,慢性淋巴细胞性甲状腺炎;; TPOAb;; TGAb;; 临床分析;,"目的总结慢性淋巴细胞性甲状腺炎临床特点,为临床诊治提供参考和指导。方法回顾分析2009～2011年48例慢性淋巴细胞性甲状腺炎患者的临床资料。结果慢性淋巴细胞性甲状腺炎临床发病以女性为主,以30～50岁多见;表现为质地坚韧的甲状腺中度肿大;TPOAb联合TGAb测定在诊断上有重要意义。治疗目的是纠正继发的甲状腺功能异常和缩小显著肿大的甲状腺。结论慢性淋巴细胞性甲状腺炎临床表现多不典型,临床诊治过程应从多因素综合考虑。"
慢性淋巴细胞性甲状腺炎的超声诊断,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZMGY201210036,张月仙,Chinese Journal of Coal Industry Medicine,2012-10-20,Journals,1,"甲状腺炎,慢性淋巴细胞性;; 超声诊断;","＜正＞近年来,随着高频超声和彩色多普勒超声成像技术的发展,对甲状腺疾患的临床应用有了显著进展,经超声检查诊断甲状腺疾病的准确率逐步提高。慢性淋巴细胞性甲状腺炎为一种自身免疫性疾病,本研究通过对2009年2月—2011年8月我院经超声诊断慢性淋巴细胞性甲状腺炎（又称桥本病）例"
慢性淋巴细胞性甲状腺炎的诊断思路与治疗方法,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=XCYS201248013,蒙碧辉,Chinese Community Doctors,2012-12-23,Journals,1,,"＜正＞慢性淋巴细胞性甲状腺炎又称桥本甲状腺炎（HT）,起病缓慢,发病时患者大都没有特殊感觉,而是逐渐发现甲状腺肿大。少数晚期患者甲状腺体内有大量纤维化形成,坚硬如石,常与周围组织粘连,可发生进行性压迫症状,出现呼吸困难、吞咽困难等症状。本文以病例为基础,对HT的诊断思路和治疗方法作出总结。"
慢性淋巴细胞性甲状腺炎超声影像各型的放免指标分析,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZSZD201302039,葛冠男;赵凯军;梁雪;郭莉莉;郑美娜,Chinese Journal of Laboratory Diagnosis,2013-02-25,Journals,,,"＜正＞慢性淋巴细胞性甲状腺炎（chronic lymphocyt-ic thyroiditis,CTL）又称桥本甲状腺炎（HT）,是以甲状腺淋巴细胞浸润为病理特征的自身免疫性炎症,是甲状腺炎中最常见的疾病,常见于中年女性,近年来发病率呈上升趋势。据文献报道,Dailay首先提出甲状腺癌可由HT恶变而来[1]。Pollock也认为HT属癌前病变[2]。此外,HT常常与其它甲状腺疾病并存,如甲状腺癌、腺瘤、结节性甲状腺肿"
MSCT differential diagnosis of benign and malignant nodules in patients of chronic lymphocytic thyroiditis,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZYXX201304018,"ZHU Cai-song 1,YANG Jun 1*,YANG Jing 2,XU Ming 2,SHAO Kang-wei 1,LIU Wei 1,WANG Jia-lin 1,YUAN Li-xin 1,XIAO Zheng-guang 1,MIN Qing-hua 1,ZHANG Yi 1(1.Department of Radiology,2.Department of Pathology,Changning District Central Hospital,Shanghai 200336,China)",Chinese Journal of Medical Imaging Technology,2013-04-20,Journals,,"Thyroiditis,autoimmune;; Thyroid neoplasms;; Thyroid nodule;; Tomography,X-ray computed;","Objective To compare MSCT features of benign and malignant nodules in patients with chronic lymphocytic thyroiditis（CTL）,and to observe the value of MSCT in identification and diagnosis of these lesions.Methods MSCT findings,including the size,percentage of solid element,calcification,margin,capsule,the pattern and the degree of enhancement of 79thyroid nodules in 74patients with CLT were retrospectively analyzed,the differences of benign and malignant nodules were compared statistically.Results About 81.82%（18 / 22） malignant nodules were almost entirely solid,while 28.07%（16 / 57） benign nodules were mainly to cystic（all P＜0.05）.Malignant nodules more frequently appeared microcalcification and internal calcification than those of benign nodules（all P＜0.05）.Malignant nodules were likely to be ill-defined margin,lack capsule or insufficient capsule,homogeneous enhancement（all P＜0.05）.There was no significant differences between malignant and benign nodules in ratio of nodules and thyroid tissues outside nodules in plain,arterial phase,parenchymal phase（all P＞0.05）.Conclusion MSCT is helpful to differentiate benign and malignant nodules in CLT patients."
慢性淋巴细胞性甲状腺炎合并甲状腺微小乳头状癌16例分析,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZSSA201313101,孙萍,China Practical Medicine,2013-05-10,Journals,1,慢性淋巴细胞性甲状腺炎;; 甲状腺微小乳头状癌;,"目的探讨慢性淋巴细胞性甲状腺炎合并甲状腺微小乳头状癌的病因、诊断及治疗。方法回顾性分析我科2010～2011年收治的慢性淋巴细胞性甲状腺炎合并甲状腺微小乳头状癌16例患者的临床资料。结果 16例患者术前彩超均发现甲状腺低回声结节。10例TSH升高,16例甲状腺抗体检测均增高。所有患者均行手术治疗,均经术中冰冻病理确诊。结论慢性淋巴细胞性甲状腺炎合并甲状腺微小乳头状癌漏诊率高,诊断时需高度警惕。手术是有效的治疗方法。术中冰冻病理检查确诊率高。预后较好。"
Discussion on Application of Chinese Medicine with Iodine in Treatment of Chronic Lymphocytic Thyroiditis,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=LZXB201307077,"ZHANG Ying,Advisor :ZHANG Lan(Liaoning University of Traditional Chinese Medicine,Shenyang 110847,Liaoning,China)",Journal of Liaoning University of Traditional Chinese Medicine,2013-07-05,Journals,9,Chinese medicine with iodine;; chronic lymphocytic thyroiditis;; hashimoto’s thyroiditis;; academic discussion;,"The literature of Chinese medicine treatment of chronic lymphocytic thyroiditis was reviewed in the last decade,to explore how reasonable use of Chinese medicine with iodine."
隔药饼灸加左旋甲状腺素钠治疗慢性淋巴细胞性甲状腺炎,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZJZH201306019,徐惠芬,Zhejiang Journal of Integrated Traditional Chinese and Western Medicine,2013-06-20,Journals,54,慢性淋巴细胞性甲状腺炎;; 甲状腺功能减低;; 隔药饼灸;; 左旋甲状腺素钠;,"＜正＞慢性淋巴细胞性甲状腺炎是最常见的自身免疫性甲状腺疾病,是导致甲状腺功能减退症（甲减）的主要原因。多见于女性,起病缓慢,初期常无特殊不"
慢性淋巴细胞性甲状腺炎(CLT)合并甲状腺癌(TC)临床治疗分析,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=WSCY201321035,白小彬,China Health Industry,2013-07-25,Journals,,慢性淋巴细胞性甲状腺炎;; 甲状腺癌;; 诊断;; 治疗;,"目的探讨分析慢性淋巴细胞性甲状腺炎合并甲状腺癌患者在临床治疗中的特征、并发症以及预后状况。方法分析研究我院在1994—2004年之间收治的13例慢性淋巴细胞性甲状腺炎合并甲状腺癌的患者在临床治疗中的详细资料,对这些患者采取B超检查、FNAC检查、ECT检查,对患者进行手术治疗,手术后按常规服用优甲乐。结果经分析发现慢性淋巴细胞性甲状腺炎合并甲状腺癌的发病率占慢性淋巴细胞性甲状腺炎的12.15%（慢性淋巴细胞性甲状腺炎共有13例患者,其中,慢性淋巴细胞性甲状腺炎合并甲状腺癌有107例患者）占甲状腺癌的15.66%（慢性淋巴细胞性甲状腺炎癌83例患者,慢性淋巴细胞性甲状腺炎合并甲状腺癌例83患者）,所有的患者在手术前都主诉有颈前部结节,这些患者中1例有压迫症状、1例有颈部疼痛、6例TGA（或TMA）有时会出现同时升高、有8例患者出现同位素""冷冻结"",对这13例患者采用甲状腺超声检查,都显现出了低回声结节,特殊的2例患者伴有淋巴结肿大和钙化。这13例淋巴细胞性甲状腺炎合并甲状腺癌患者中12例患者进行一期根治性手术,1例患者进行二期根治性手术。结论慢性淋巴细胞性甲状腺炎合并甲状腺癌在前期诊断中比较困难,需要通过甲状腺相关抗体、影像学及手术中、手术后病理检查等手段综合应用;对于可疑病例必须谨慎检查。慢性淋巴细胞性甲状腺炎合并甲状腺癌的手术应该使用甲状腺癌根治性手术的原则进行手术治疗。"
儿童慢性淋巴细胞性甲状腺炎23例临床分析,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=DDKZ201308021,苏瑛;刘桂英,Chinese Journal of Contemporary Pediatrics,2013-08-22 18:04,Journals,,,"＜正＞慢性淋巴细胞性甲状腺炎（chronic lymphocytic thyroiditis,CLT）亦称为桥本甲状腺炎（Hashimotothyroiditis）。在学龄期儿童发病率可达1.2%,且有逐步增高趋势[1-2]。但是CLT起病缓慢,临床表现多样,可表现为甲状腺肿大而无自觉症状,亦可表现为甲状腺功能亢进或甲状腺功能减低。"
慢性淋巴细胞性甲状腺炎合并多灶性甲状腺乳头状癌46例诊治体会,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=XCYY201318015,叶登峰;李志安,Chinese Journal of Rural Medicine and Pharmacy,2013-09-15,Journals,1,慢性淋巴细胞性甲状腺炎;; 甲状腺乳头状癌;; 外科手术;,"目的总结慢性淋巴细胞性甲状腺炎（桥本病）合并多灶性甲状腺乳头状癌的诊治方法。方法回顾性分析46例桥本病合并多灶性甲状腺乳头状癌的临床资料。结果 46例桥本病合并多灶性甲状腺乳头状癌,其中34例（73.9%）甲状腺球蛋白抗体（TGAb）升高,4 6例抗甲状腺过氧化物酶抗体（TPOAb）均升高。4 6例均根据病情行不同形式手术治疗,同时行中央区淋巴结清扫。46例均获得随访,中位随访时间28个月。1例（2.2%）因一侧颈淋巴结转移而再次入院行改良颈淋巴清扫术。1例（2.2%）术后15个月残叶甲状腺癌复发行再次手术。结论桥本病伴多灶性甲状腺乳头状癌发生率较高,淋巴结转移率低,总体预后理想。TGAb、TPOAb、B超对术前诊断桥本病合并多灶性甲状腺癌有重要价值。"
Application of selenium yeast tablets for the treatment of chronic lymphocytic thyroiditis,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=JYYL201319018,"WU Dong-hong;LIU Jie;XU Bin-hua;LIANG Gui-min;CHEN Jing;LIU Da-na;Department of Endocrinology,Harbin First Hospital",Laboratory Medicine and Clinic,2013-10-14,Journals,11,selenium yeast tablets;; chronic lymphocytic thyroiditis;; thyroid peroxidase antibody;; thyroglobulin antibody;,"Objective To explore the application value of selenium yeast tablets（SYT）for the treatment of chronic lymphocytic thyroiditis（CLT）.Methods A total of 102patients with CLT were divided into experiment group（54cases）,treated with SYT and L-throxine（L-T4）and control group（48cases）,treated with（L-T4）alone or untreated.Serum levels of thyroid peroxidase antibody（TPOAb）,thyroglobulin antibody（TGAb）,thyrotropicstimulating hormone（TSH）,free triiodothyronine（FT3）and free thyroxin（FT4）were detected at admission and 6 months after therapy.Results The percentage of patients with decreased levels of TPOAb and TGAb in experiment group were 67%and 59%,which were higher than control group.Conclusion SYT treatment could prevent the further increasing of thyroid antibody level,postpone the damage of thyroid cells and protect thyroid tissue."
慢性淋巴细胞性甲状腺炎的超声诊断价值,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=KXJY201401061,秦丽微;郑春梅;曹霞,Heilongjiang Medicine and Pharmacy,2014-02-15,Journals,3,慢性淋巴细胞性甲状腺炎;; 超声诊断;; 声像图特征;,"目的:通过研究慢性淋巴细胞性甲状腺炎（HT）的超声检查声像图特征,以提高对HT的诊断价值。方法:用高频探头对42例已经被临床证实的HT患者检查,分析并总结HT的声像图特征,对声像图进行分类、对比研究。结果:HT超声声像图特征为甲状腺回声弥漫性不均、减低者占67%（其中包括回声弥漫性不均并夹杂条索样强回声）,甲状腺回声局限性减低者占10%,甲状腺回声弥漫性不均合并结节者占26%,42例HT患者甲状腺内径均有不同程度增大,以峡部的增厚为特征性表现;彩色多普勒均表现为弥漫性不均的实质内血流信号丰富,可呈""火海""样表现。结论:慢性淋巴细胞性甲状腺炎具有较为典型的超声声像图特征,能为临床明确诊断提供重要依据。"
Application of ER Xian Tang and QI Hai Xiao Ying Tang for the treatment of chronic lymphocytic thyroiditis complicated with hypothyroidism,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=JYYL201408008,"CHEN Qiong-ke;ZHENG Shi-xia;LIU Jing;Special Traditional Chinese Medicine and Western Medicine Department of Thyroid,the Third People′s Hospital of Chongqing;Endocrine Department,the Third People′s Hospital of Chongqing",Laboratory Medicine and Clinic,2014-04-28,Journals,19,traditional Chinese medicine;; chronic lymphocytic thyroiditis;; hypothyroidism;; levothyroxine;,"Objective To explore the curative effects of ER Xian Tang and QI Hai Xiao Ying Tang for the treatment of chronic lymphocytic thyroiditis（CLT）complicated with hypothyroidism.Methods A total of 70patients with CLT complicate with hypothyroidism were divided into treatment group,given Er Xian Tang,Qi Hai Xiao Ying Tang and levothyroxine sodium tablets,and control group,given evothyroxine sodium tablets.Curative effects, and serum levels of triiodothyronine（T3）,thyroxine（T4）,free triiodothyronine（FT3）,free thyroxine（FT4）,thyrotropic-stimulating hormone（TSH）,thyroglobulin antibody（TGAb）,thyroid peroxidase antibody（TPOAb）and so on were compared between the two groups.Results Before treatment,the differences of levels of T3,T4,TSH,FT3, FT4,TGAb,TPOAb and indexes of routine blood test between the two groups were not significant（P＞0.05）,and liver function of patients in the two groups were all without abnormality.After treatment,the effective rate in treatment group was 91.4%,being significantly different with the 74.3%in control group（P＜0.05）.After treatment, levels of T3,T4,FT3,FT4and TSH in the two groups all return to normal range,and levels of TGAb and TPOAb in treatment group were reduced,being significantly different with levels detected before treatment and with levels of control group（P＜0.05）.In treatment group,the dosage of levothyroxine reduced significantly（P＜0.05）.Thyroid volume reduced significantly only in treatment group（P＜0.05）.Conclusion Er Xian Tang and Qi Hai Xiao Ying Tang could effectively regulate immune function,reduce levels of TGAb,TPOAb and thyroid volume in patients with CLT complicated with hypothyroidism."
Clinical correlational research between CLT and malignant tumours of the thyroid,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=YIKE201408027,"Zhang Yi;Deng Fusheng;Liu Zhengrong;Dept of General Surgery,The Affiliated Provincial Hospital of Anhui Medical University",Acta Universitatis Medicinalis Anhui,2014-08-23,Journals,2,thyroiditis;; malignant neoplasm of thyroid gland;; correlation;,"Objective To discuss the clinical correlation between CLT and malignant tumours of the thyroid.Methods In this study,patients operated on for thyroid diseases in Anhui Provincial Hospital in 2012 were investigated retrospectively. Patients diagnosed as having CLT were investigated for any concurrent malignant neoplasm.44 patients in whom CLT and thyroid malignancy were coexisting were recruited in the study. Results In our study,the rate of malignancy against the background of CLT was 40. 7%,while the rate in the groups without CLT was18. 7%,with a statistically significant difference between the groups（P ＜ 0. 05）. There was no statistical difference in TNM classification between the groups with and without CLT. Conclusion The rate of throiditis coexistent with thyroid carcinoma is higher. The patients with microcalcifications,irrgular border or cervical lymphadenectasis in preoperative sonogram should be evaluated more carefully in terms of malignancy. CLT has no effect on clinical TNM classification of malignant tumours of thyroid."
Diagnosis and treatment of chronic lymphocytic thyroiditis coexistent with thyroid malignancy,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=YXQY201405045,"CAO Xiao-zheng;Department of Nuclear Medicine, The First Affiliated Hospital of Henan Science and Technology University",Chinese Journal of the Frontiers of Medical Science(Electronic Version),2014-05-20,Journals,1,Malignancy;; Chronic lymphocytic thyroiditis;,"Objective To explore the principles of diagnosis and treatment of chronic lymphocytic thyroiditis（CLT） coexistent with thyroid malignancy. Methods The clinical data of 38 patients with CLT, including clinic opathologic features, treatment, and prognosis were retrospectively analyzed. ResultsChronic lymphocytic thyroiditis with papillary carcinoma 29 cases, the merger medullary carcinoma 3 cases, combined lymphoma 6 cases. 35 cases received follow-up, the treatment effect of 86.84% patients was good. Conclusion Chronic lymphocytic thyroiditis thyroid malignant tumor in the combining more papillary carcinoma（29/38）. Preoperative thyroid function, serum thyroid antibody detection, B ultrasonic and intraoperative and postoperative biopsy can improve the diagnosis and treatment, and help to choose the right operation method."
Clinical Experience in Diagnosis and Treatment of 59 Cases of Chronic Lymphocytic Thyroiditis,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=JXUY201405020,"ZHAO Xiangyu;Sailike;Aleha;Shana;Surgery department, Xinjiang Aletai District People's Hospital",China Continuing Medical Education,2014-08-31,Journals,6,Chronic lymphocytic thyroiditis;; Diagnosis and Treatment;,"Objective To reduce the misdiagnosis of chronic lymphocytic thyroiditis rate, select reasonable treatment. Methods A retrospective summary of 1992~2012 were conducted for atypical chronic lymphocytic thyroiditis in 59 cases. Among the 59 cases, 50 cases received operation, 9 cases didn’t receive operation. Results 29 cases were simple Hashimotos disease, 11 cases were Hashimoto’s disease complicated with nodular goiter, 5 cases were Hashimoto’s disease coexistent with thyroid adenoma, 3 cases were Hashimoto’s disease coexistent with hyperthyroidism, 2 cases were Hashimoto’s disease associated with thyroid carcinoma. Conclusion Hashimoto’s disease misdiagnosis rate is high, fine needle aspiration biopsy, detection of antibodies to thyroglobulin（TGAB）, thyroid dry preparation diagnostic treatment and anti microsomal antibody（TMAB） can effectively improve the correct diagnosis rate."
Professor Zhu Liangzhen's experience in treating Hashimoto's Disease,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=SHZZ201407007,CAI Pu-yu;ZHU Liang-zheng;Tianshan Hospital of Traditional Chinese Medicine,Shanghai Journal of Traditional Chinese Medicine,2014-07-10,Journals,12,Hashimoto’s Disease;; regulating and invigorating liver and kidney;; experience;; Zhu Liangzheng;,"Professor Zhu Liangzheng views that liver and kidney have close relationship with Hashimoto’s Disease. Qi stagnation,phlegm coagulation and blood stasis are the branch of the disease; regulating and invigorating liver and kidney is the root of the disease. Regulating qi-flowing to eliminate phlegm and removing blood stasis to soften hardness are the two methods,which should be combined with. Local and holistic views on the disease at different stages should be considered in the treatment,and satisfied clinical efficacy has been achieved."
慢性淋巴细胞性甲状腺炎并甲状腺孤立性浆细胞瘤1例,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=SXLC201407028,闫勤英;张芬;杨森,Proceeding of Clinical Medicine,2014-07-10,Journals,,,"＜正＞患者,女性,74岁。2012年8月无意间发现左颈部肿块,无疼痛,未予重视。2013年2月发现肿块明显增大,于我院行甲状腺B超示:慢性淋巴细胞性甲状腺炎合并甲状腺左侧叶结节（见图1）;双侧颈部未见异常。查甲状腺功能示:三碘甲腺原氨酸（T3）1.68 nmol/L,甲状腺素（T4）102.06 nmol/L,游离三碘甲腺原氨酸（FT3）4.42 pmol/L,游离甲状腺"
弥漫性甲亢和慢性淋巴细胞性甲状腺炎的发病机理,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=GWLK197502008,张家庆,国外医学参考资料(内科学分册),1975-03-02,Journals,1,,"＜正＞ 目前认为弥漫性甲亢和慢性淋巴细性甲状腺炎的发病机理,极可能是与原发性免疫疾患有关。它们在遗传和发病机理上有特别紧密的联系。有关体液性免疫球蛋白的目前情况一、甲状腺自身抗体自从1956年发现血清的甲状腺抗体后,目前已发现在慢性淋巴细胞性甲状腺炎和弥漫性甲亢时都有各种甲状腺自身抗体,包括对甲状腺球蛋白的抗体、对甲状腺球蛋白以外的胶体成分的抗体、对甲状腺“微粒体”的抗体和抗核成分。这些抗体系由B淋巴细胞产生。最近有证据表明它们要与T淋巴细胞结合后才有细胞毒性。因此可能细胞免疫和体液性免疫两者对"
对流免疫电泳用于快速诊断慢性淋巴细胞性甲状腺炎,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=GWLK197512041,金慰鄂,国外医学参考资料(内科学分册),1975-12-27,Journals,,,"＜正＞ 自家免疫性甲状腺病的诊断,目前应用的有:美粘土絮状试验,甲状腺微粒体补体结合反应,鞣酸红细胞凝集试验,电沉淀素试验,萤光抗体测定,乳胶凝集试验等。至今最快速的试验是乳胶凝集试验,但成本昂贵。为此,作者以对流免疫电泳作为慢性淋巴细胞性甲状腺炎的快速诊断。材料和方法:选择1∶1的琼脂糖/“离子琼脂”,及pH 8.1的巴比妥醋酸缓冲液,配制1％琼脂糖和琼脂"
